"subject" "activity" "variable" "mean" "sd"
"1" 1 "laying" "tBodyAccMeanX" 0.22159824394 0.168930385215445
"2" 1 "laying" "tBodyAccMeanY" -0.0405139534294 0.118675802956278
"3" 1 "laying" "tBodyAccMeanZ" -0.11320355358 0.174047090123104
"4" 1 "laying" "tBodyAccStdX" -0.9280564692 0.122957401949122
"5" 1 "laying" "tBodyAccStdY" -0.83682740562 0.331177484007336
"6" 1 "laying" "tBodyAccStdZ" -0.826061401628 0.288552886794704
"7" 1 "laying" "tGravityAccMeanX" -0.24888179828 0.220289463378822
"8" 1 "laying" "tGravityAccMeanY" 0.70554977346 0.282054386400136
"9" 1 "laying" "tGravityAccMeanZ" 0.4458177198 0.388321182969864
"10" 1 "laying" "tGravityAccStdX" -0.8968300184 0.187362173440021
"11" 1 "laying" "tGravityAccStdY" -0.90772000676 0.225012896377312
"12" 1 "laying" "tGravityAccStdZ" -0.85236629022 0.289570966399619
"13" 1 "laying" "tBodyAccJerkMeanX" 0.0810865342 0.0528565447588119
"14" 1 "laying" "tBodyAccJerkMeanY" 0.0038382040088 0.0985939187724699
"15" 1 "laying" "tBodyAccJerkMeanZ" 0.010834236361 0.114352821930425
"16" 1 "laying" "tBodyAccJerkStdX" -0.958482112 0.0752185969837598
"17" 1 "laying" "tBodyAccJerkStdY" -0.9241492736 0.163771649066554
"18" 1 "laying" "tBodyAccJerkStdZ" -0.9548551108 0.0880763225445686
"19" 1 "laying" "tBodyGyroMeanX" -0.016553093978 0.0771795031080852
"20" 1 "laying" "tBodyGyroMeanY" -0.064486124088 0.0596404083543515
"21" 1 "laying" "tBodyGyroMeanZ" 0.14868943626 0.162279898652265
"22" 1 "laying" "tBodyGyroStdX" -0.87354386782 0.23421729111206
"23" 1 "laying" "tBodyGyroStdY" -0.9510904402 0.0880388476633163
"24" 1 "laying" "tBodyGyroStdZ" -0.9082846626 0.13736305008917
"25" 1 "laying" "tBodyGyroJerkMeanX" -0.107270949192 0.153808688954694
"26" 1 "laying" "tBodyGyroJerkMeanY" -0.04151728689 0.0403136220027385
"27" 1 "laying" "tBodyGyroJerkMeanZ" -0.0740501211 0.0567794352943382
"28" 1 "laying" "tBodyGyroJerkStdX" -0.9186085208 0.172564260864984
"29" 1 "laying" "tBodyGyroJerkStdY" -0.9679072436 0.0661201623548484
"30" 1 "laying" "tBodyGyroJerkStdZ" -0.9577901596 0.0792540712205832
"31" 1 "laying" "tBodyAccMagMean" -0.8419291525 0.2886131229297
"32" 1 "laying" "tBodyAccMagStd" -0.79514486386 0.34981224789847
"33" 1 "laying" "tGravityAccMagMean" -0.8419291525 0.2886131229297
"34" 1 "laying" "tGravityAccMagStd" -0.79514486386 0.34981224789847
"35" 1 "laying" "tBodyAccJerkMagMean" -0.9543962646 0.090496008720347
"36" 1 "laying" "tBodyAccJerkMagStd" -0.9282456284 0.154039484219093
"37" 1 "laying" "tBodyGyroMagMean" -0.874759548 0.166442387614279
"38" 1 "laying" "tBodyGyroMagStd" -0.81901016976 0.31538245845808
"39" 1 "laying" "tBodyGyroJerkMagMean" -0.96346103 0.0748615754514122
"40" 1 "laying" "tBodyGyroJerkMagStd" -0.9358409828 0.132852076021581
"41" 1 "laying" "fBodyAccMeanX" -0.9390990524 0.103724512573987
"42" 1 "laying" "fBodyAccMeanY" -0.86706520518 0.269666136965962
"43" 1 "laying" "fBodyAccMeanZ" -0.8826668762 0.199873400362689
"44" 1 "laying" "fBodyAccStdX" -0.9244374346 0.130107812286934
"45" 1 "laying" "fBodyAccStdY" -0.8336255561 0.339788645636426
"46" 1 "laying" "fBodyAccStdZ" -0.81289155944 0.309051085361805
"47" 1 "laying" "fBodyAccJerkMeanX" -0.9570738838 0.0784560486297006
"48" 1 "laying" "fBodyAccJerkMeanY" -0.9224626098 0.168998864530492
